issue_id,source,locale,style,query,rank,test_url,stored_link_type,new_link_type,catalog_match_stored,catalog_match_new,old_target_found,new_target_found,old_target_different_loc_found,new_target_different_loc_found
bitcoin-payment-01,external-search.google-search-playwright,en,familiar,configure bitcoin payment method vtex,1,https://help.vtex.com/pt/docs/tutorials/enabling-payments-with-bitcoin,unrelated,target_doc_different_loc,none,https://help.vtex.com/docs/tutorials/enabling-payments-with-bitcoin; https://help.vtex.com/en/docs/tutorials/enabling-payments-with-bitcoin,False,False,False,True
bitcoin-payment-01,external-search.google-search-playwright,en,expert,enabling payments with bitcoin vtex,1,https://help.vtex.com/pt/docs/tutorials/enabling-payments-with-bitcoin,unrelated,target_doc_different_loc,none,https://help.vtex.com/docs/tutorials/enabling-payments-with-bitcoin; https://help.vtex.com/en/docs/tutorials/enabling-payments-with-bitcoin,False,False,False,True
cms-migration-01,internal-search.hybrid-search,en,familiar,Store Framework migration production rollback,2,https://developers.vtex.com/vtex-io-documentation-migrating-storefront-from-legacy-to-io,target_doc,unrelated,unresolved (stored as `target_doc`; strict baseline: https://developers.vtex.com/docs/guides/vtex-io-documentation-migrating-storefront-from-legacy-to-io),none,True,False,False,False
cms-migration-01,internal-search.hybrid-search,en,familiar,Store Framework migration production rollback,2,https://developers.vtex.com/vtex-io-documentation-migrating-storefront-from-legacy-to-io,target_doc,unrelated,unresolved (stored as `target_doc`; strict baseline: https://developers.vtex.com/docs/guides/vtex-io-documentation-migrating-storefront-from-legacy-to-io),none,True,False,False,False
cms-migration-01,internal-search.hybrid-search,en,expert,CMS Legacy Store Framework migration rollback,3,https://developers.vtex.com/vtex-io-documentation-migrating-storefront-from-legacy-to-io,target_doc,unrelated,unresolved (stored as `target_doc`; strict baseline: https://developers.vtex.com/docs/guides/vtex-io-documentation-migrating-storefront-from-legacy-to-io),none,True,False,False,False
cms-migration-01,internal-search.hybrid-search,en,expert,CMS Legacy Store Framework migration rollback,3,https://developers.vtex.com/vtex-io-documentation-migrating-storefront-from-legacy-to-io,target_doc,unrelated,unresolved (stored as `target_doc`; strict baseline: https://developers.vtex.com/docs/guides/vtex-io-documentation-migrating-storefront-from-legacy-to-io),none,True,False,False,False
conciliations-payment-01,llm.chatgpt,en,naive,how do i manage bank reconciliations for bank slip payments in vtex,1,https://help.vtex.com/docs/tutorials/bank-reconciliations?locale=pt&utm_source=chatgpt.com,target_doc,target_doc_different_loc,unresolved (stored as `target_doc`; strict baseline: https://help.vtex.com/docs/tutorials/bank-reconciliations),https://help.vtex.com/docs/tutorials/bank-reconciliations; https://help.vtex.com/en/docs/tutorials/bank-reconciliations,True,False,False,True
conciliations-payment-01,llm.chatgpt,en,familiar,steps to reconcile boleto payments in vtex,1,https://help.vtex.com/pt/docs/tutorials/bank-reconciliations?utm_source=chatgpt.com,unrelated,target_doc_different_loc,none,https://help.vtex.com/docs/tutorials/bank-reconciliations; https://help.vtex.com/en/docs/tutorials/bank-reconciliations,False,False,False,True
conciliations-payment-01,llm.chatgpt,en,familiar,steps to reconcile boleto payments in vtex,4,https://help.vtex.com/docs/tutorials/conciliacoes-bancarias?locale=pt&utm_source=chatgpt.com,unrelated,target_doc_different_loc,none,https://help.vtex.com/pt/tutorial/conciliacoes-bancarias; https://help.vtex.com/pt/docs/tutorials/conciliacoes-bancarias,False,False,False,True
conciliations-payment-01,llm.chatgpt,es,naive,cómo gestionar conciliaciones bancarias para pagos con boleto en vtex,3,https://help.vtex.com/docs/tutorials/conciliacoes-bancarias?locale=pt,unrelated,target_doc_different_loc,none,https://help.vtex.com/pt/tutorial/conciliacoes-bancarias; https://help.vtex.com/pt/docs/tutorials/conciliacoes-bancarias,True,True,False,True
conciliations-payment-01,llm.chatgpt,es,naive,cómo gestionar conciliaciones bancarias para pagos con boleto en vtex,8,https://help.vtex.com/docs/tutorials/conciliacoes-bancarias?locale=pt&utm_source=chatgpt.com,unrelated,target_doc_different_loc,none,https://help.vtex.com/pt/tutorial/conciliacoes-bancarias; https://help.vtex.com/pt/docs/tutorials/conciliacoes-bancarias,True,True,False,True
conciliations-payment-01,llm.chatgpt,es,expert,cómo gestionar conciliaciones bancarias en pagos vtex,3,https://help.vtex.com/docs/tutorials/conciliacoes-bancarias?locale=pt&utm_source=chatgpt.com,unrelated,target_doc_different_loc,none,https://help.vtex.com/pt/tutorial/conciliacoes-bancarias; https://help.vtex.com/pt/docs/tutorials/conciliacoes-bancarias,True,True,False,True
conditions-payment-01,external-search.google-search-playwright,es,naive,cómo configurar condiciones especiales para métodos de pago en vtex,6,https://help.vtex.com/docs/tutorials/condicoes-especiais?locale=en,unrelated,target_doc_different_loc,none,https://help.vtex.com/pt/tutorial/condicoes-especiais; https://help.vtex.com/pt/docs/tutorials/condicoes-especiais,True,True,False,True
conditions-payment-01,external-search.google-search-playwright,es,familiar,configurar condiciones especiales de pago vtex,4,https://help.vtex.com/en/tutorial/condicoes-especiais,unrelated,target_doc_different_loc,none,https://help.vtex.com/pt/tutorial/condicoes-especiais; https://help.vtex.com/pt/docs/tutorials/condicoes-especiais,True,True,False,True
conditions-payment-01,external-search.google-search-playwright,pt,naive,como configurar condições especiais para métodos de pagamento no vtex,4,https://help.vtex.com/docs/tutorials/condicoes-especiais?locale=en,target_doc,target_doc_different_loc,unresolved (stored as `target_doc`; strict baseline: https://help.vtex.com/pt/tutorial/condicoes-especiais),https://help.vtex.com/pt/tutorial/condicoes-especiais; https://help.vtex.com/pt/docs/tutorials/condicoes-especiais,True,True,False,True
conditions-payment-01,external-search.google-search-playwright,pt,familiar,configurar condições especiais de pagamento vtex,1,https://help.vtex.com/en/tutorial/condicoes-especiais,unrelated,target_doc_different_loc,none,https://help.vtex.com/pt/tutorial/condicoes-especiais; https://help.vtex.com/pt/docs/tutorials/condicoes-especiais,False,False,False,True
conditions-payment-01,external-search.google-search-playwright,pt,expert,condições especiais vtex pagamentos,2,https://help.vtex.com/docs/tutorials/condicoes-especiais?locale=en,target_doc,target_doc_different_loc,unresolved (stored as `target_doc`; strict baseline: https://help.vtex.com/pt/tutorial/condicoes-especiais),https://help.vtex.com/pt/tutorial/condicoes-especiais; https://help.vtex.com/pt/docs/tutorials/condicoes-especiais,True,True,False,True
